"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Dec 26 02:39:24 IST 2024","Thu Dec 26 02:39:29 IST 2024","4263","Default Suite","lcguyAuto","P2_Navigation","P2_Navigation","P4_Properties","P4_Properties",""
"passed","Thu Dec 26 02:38:51 IST 2024","Thu Dec 26 02:38:55 IST 2024","3136","Default Suite","lcguyAuto","P1_Homepage","P1_Homepage","P3_videoView","P3_videoView",""
"passed","Thu Dec 26 02:39:10 IST 2024","Thu Dec 26 02:39:17 IST 2024","6784","Default Suite","lcguyAuto","P1_Homepage","P1_Homepage","P5_officeMap","P5_officeMap",""
"passed","Thu Dec 26 02:39:44 IST 2024","Thu Dec 26 02:39:47 IST 2024","3350","Default Suite","lcguyAuto","P3_Form","P3_Form","P2_contactPageForm","P2_contactPageForm",""
"passed","Thu Dec 26 02:39:23 IST 2024","Thu Dec 26 02:39:24 IST 2024","761","Default Suite","lcguyAuto","P2_Navigation","P2_Navigation","P2_contactUs","P2_contactUs",""
"passed","Thu Dec 26 02:39:35 IST 2024","Thu Dec 26 02:39:38 IST 2024","2471","Default Suite","lcguyAuto","P3_Form","P3_Form","P1_homePageForm","P1_homePageForm",""
"passed","Thu Dec 26 02:38:41 IST 2024","Thu Dec 26 02:38:45 IST 2024","4749","Default Suite","lcguyAuto","P1_Homepage","P1_Homepage","P2_banner","P2_banner",""
"passed","Thu Dec 26 02:39:01 IST 2024","Thu Dec 26 02:39:03 IST 2024","1788","Default Suite","lcguyAuto","P1_Homepage","P1_Homepage","P4_bestDeal","P4_bestDeal",""
"passed","Thu Dec 26 02:38:34 IST 2024","Thu Dec 26 02:38:35 IST 2024","395","Default Suite","lcguyAuto","P1_Homepage","P1_Homepage","P1_checkHeader","P1_checkHeader",""
"passed","Thu Dec 26 02:39:24 IST 2024","Thu Dec 26 02:39:24 IST 2024","645","Default Suite","lcguyAuto","P2_Navigation","P2_Navigation","P3_PropertyDetails","P3_PropertyDetails",""
"passed","Thu Dec 26 02:39:23 IST 2024","Thu Dec 26 02:39:23 IST 2024","338","Default Suite","lcguyAuto","P2_Navigation","P2_Navigation","P1_checkHeader","P1_checkHeader",""
